accession,serotype,year,year_basis,collection_date,first_public,host,strain,isolate,base_count,study_accession,source
HM641031,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-48,434,,ENA portal API
HM641032,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-55,404,,ENA portal API
HM641033,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-65,398,,ENA portal API
HM641034,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-73,432,,ENA portal API
HM641035,DENV-3,2009,collected,2009,2011-07-21,Homo sapiens,,9-89,422,,ENA portal API
JF967776,DENV-4,2009,collected,2009,2012-06-01,Homo sapiens,D4/Philippines/0909aTw,,1485,,ENA portal API
JF967983,DENV-2,2009,collected,2009,2012-06-01,Homo sapiens,D2/Philippines/0905aTw,,1485,,ENA portal API
JF967991,DENV-2,2009,collected,2009,2012-06-01,Homo sapiens,D2/Philippines/0908aTw,,1485,,ENA portal API
JF967995,DENV-2,2009,collected,2009,2012-06-01,Homo sapiens,D2/Philippines/0910aTw,,1485,,ENA portal API
JF967996,DENV-2,2009,collected,2009,2012-06-01,Homo sapiens,D2/Philippines/0910bTw,,1485,,ENA portal API
JF967997,DENV-2,2009,collected,2009,2012-06-01,Homo sapiens,D2/Philippines/0910cTw,,1485,,ENA portal API
JF967998,DENV-2,2009,collected,2009,2012-06-01,Homo sapiens,D2/Philippines/0910dTw,,1485,,ENA portal API
JF968001,DENV-2,2009,collected,2009,2012-06-01,Homo sapiens,D2/Philippines/0912aTw,,1485,,ENA portal API
JF968075,DENV-3,2009,collected,2009,2012-06-01,Homo sapiens,D3/Philippines/0906aTw,,1479,,ENA portal API
JF968076,DENV-3,2009,collected,2009,2012-06-01,Homo sapiens,D3/Philippines/0906bTw,,1479,,ENA portal API
JF968079,DENV-3,2009,collected,2009,2012-06-01,Homo sapiens,D3/Philippines/0907aTw,,1479,,ENA portal API
JF968083,DENV-3,2009,collected,2009,2012-06-01,Homo sapiens,D3/Philippines/0909aTw,,1479,,ENA portal API
KP973460,DENV-2,2009,collected,2009,2015-09-26,,,PH100083D2/2009,323,,ENA portal API
KP973461,DENV-2,2009,collected,2009,2015-09-26,,,PH110002D2/2009,323,,ENA portal API
KP973462,DENV-2,2009,collected,2009,2015-09-26,,,PH110004D2/2009,323,,ENA portal API
KP973463,DENV-2,2009,collected,2009,2015-09-26,,,PH110018D2/2009,323,,ENA portal API
KP973464,DENV-2,2009,collected,2009,2015-09-26,,,PH110033D2/2009,323,,ENA portal API
KP973465,DENV-2,2009,collected,2009,2015-09-26,,,PH110035D2/2009,323,,ENA portal API
KP973491,DENV-3,2009,collected,2009,2015-09-26,,,PH110017D3/2009,276,,ENA portal API
KP973492,DENV-3,2009,collected,2009,2015-09-26,,,PH110024D3/2009,276,,ENA portal API
KP973493,DENV-3,2009,collected,2009,2015-09-26,,,PH110031D3/2009,276,,ENA portal API
KP973494,DENV-3,2009,collected,2009,2015-09-26,,,PH110034D3/2009,276,,ENA portal API
KP973516,DENV-1,2009,collected,2009,2015-09-26,,,PH100088D1/2009,373,,ENA portal API
KP973517,DENV-1,2009,collected,2009,2015-09-26,,,PH110003D1/2009,373,,ENA portal API
KP973518,DENV-1,2009,collected,2009,2015-09-26,,,PH110038D1/2009,373,,ENA portal API
KP973519,DENV-1,2009,collected,2009,2015-09-26,,,PH110040D1/2009,373,,ENA portal API
KP973520,DENV-1,2009,collected,2009,2015-09-26,,,PH110042D1/2009,373,,ENA portal API
KU509269,DENV-2,2009,collected,2009,2017-01-27,Homo sapiens,DENV2-973,,10557,,ENA portal API
GU377288,DENV-3,2010,published,Sep-1995,2010-02-18,Homo sapiens,,SLMC50,287,,ENA portal API
GU377289,DENV-4,2010,published,Aug-1997,2010-02-18,Homo sapiens,,SLMC318,309,,ENA portal API
HM641036,DENV-3,2010,collected,2010,2011-07-21,Homo sapiens,,10-9,430,,ENA portal API
HM641037,DENV-3,2010,collected,2010,2011-07-21,Homo sapiens,,10-10,416,,ENA portal API
HM641038,DENV-3,2010,collected,2010,2011-07-21,Homo sapiens,,10-22,430,,ENA portal API
JF967786,DENV-4,2010,collected,2010,2012-06-01,Homo sapiens,D4/Philippines/1006aTw,,1485,,ENA portal API
JF967936,DENV-1,2010,collected,2010,2012-06-01,Homo sapiens,D1/Philippines/1009aTw,,1485,,ENA portal API
JF967937,DENV-1,2010,collected,2010,2012-06-01,Homo sapiens,D1/Philippines/1009bTw,,1485,,ENA portal API
JF967938,DENV-1,2010,collected,2010,2012-06-01,Homo sapiens,D1/Philippines/1009cTw,,1485,,ENA portal API
JF968004,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1002aTw,,1485,,ENA portal API
JF968011,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1004aTw,,1485,,ENA portal API
JF968036,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1008cTw,,1485,,ENA portal API
JF968037,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1009aTw,,1485,,ENA portal API
JF968038,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1009bTw,,1485,,ENA portal API
JF968039,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1009cTw,,1485,,ENA portal API
JF968046,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1011aTw,,1485,,ENA portal API
JF968047,DENV-2,2010,collected,2010,2012-06-01,Homo sapiens,D2/Philippines/1011bTw,,1485,,ENA portal API
JF968099,DENV-3,2010,collected,2010,2012-06-01,Homo sapiens,D3/Philippines/1008aTw,,1479,,ENA portal API
JF968103,DENV-3,2010,collected,2010,2012-06-01,Homo sapiens,D3/Philippines/1009aTw,,1479,,ENA portal API
JF968108,DENV-3,2010,collected,2010,2012-06-01,Homo sapiens,D3/Philippines/1009bTw,,1479,,ENA portal API
JF968109,DENV-3,2010,collected,2010,2012-06-01,Homo sapiens,D3/Philippines/1011aTw,,1479,,ENA portal API
JN415517,DENV-1,2010,collected,2010,2012-11-19,Homo sapiens,,Philippines 2010,1485,,ENA portal API
JN568264,DENV-2,2010,collected,2010,2012-11-19,Homo sapiens,,Philippines 2010a,1485,,ENA portal API
JN568265,DENV-2,2010,collected,2010,2012-11-19,Homo sapiens,,Philippines 2010b,1485,,ENA portal API
JN575570,DENV-3,2010,collected,2010,2012-11-19,Homo sapiens,,Philippines 2010,1479,,ENA portal API
KP973466,DENV-2,2010,collected,2010,2015-09-26,,,PH110069D2/2010,323,,ENA portal API
KP973467,DENV-2,2010,collected,2010,2015-09-26,,,PH110080D2/2010,323,,ENA portal API
KP973468,DENV-2,2010,collected,2010,2015-09-26,,,PH110098D2/2010,323,,ENA portal API
KP973469,DENV-2,2010,collected,2010,2015-09-26,,,PH110099D2/2010,323,,ENA portal API
KP973470,DENV-2,2010,collected,2010,2015-09-26,,,PH110109D2/2010,323,,ENA portal API
KP973471,DENV-2,2010,collected,2010,2015-09-26,,,PH110110D2/2010,323,,ENA portal API
KP973472,DENV-2,2010,collected,2010,2015-09-26,,,PH110112D2/2010,323,,ENA portal API
KP973473,DENV-2,2010,collected,2010,2015-09-26,,,PH110113D2/2010,323,,ENA portal API
KP973474,DENV-2,2010,collected,2010,2015-09-26,,,PH110124D2/2010,323,,ENA portal API
KP973475,DENV-2,2010,collected,2010,2015-09-26,,,PH110130D2/2010,323,,ENA portal API
KP973476,DENV-2,2010,collected,2010,2015-09-26,,,PH110140D2/2010,323,,ENA portal API
KP973477,DENV-2,2010,collected,2010,2015-09-26,,,PH110154D2/2010,323,,ENA portal API
KP973478,DENV-2,2010,collected,2010,2015-09-26,,,PH110163D2/2010,323,,ENA portal API
KP973479,DENV-2,2010,collected,2010,2015-09-26,,,PH110165D2/2010,323,,ENA portal API
KP973480,DENV-2,2010,collected,2010,2015-09-26,,,PH110166D2/2010,323,,ENA portal API
KP973495,DENV-3,2010,collected,2010,2015-09-26,,,PH110063D3/2010,276,,ENA portal API
KP973496,DENV-3,2010,collected,2010,2015-09-26,,,PH110068D3/2010,276,,ENA portal API
KP973497,DENV-3,2010,collected,2010,2015-09-26,,,PH110117D3/2010,276,,ENA portal API
KP973498,DENV-3,2010,collected,2010,2015-09-26,,,PH110118D3/2010,276,,ENA portal API
KP973499,DENV-3,2010,collected,2010,2015-09-26,,,PH110122D3/2010,276,,ENA portal API
KP973500,DENV-3,2010,collected,2010,2015-09-26,,,PH110128D3/2010,276,,ENA portal API
KP973501,DENV-3,2010,collected,2010,2015-09-26,,,PH110131D3/2010,276,,ENA portal API
KP973502,DENV-3,2010,collected,2010,2015-09-26,,,PH110133D3/2010,276,,ENA portal API
KP973503,DENV-3,2010,collected,2010,2015-09-26,,,PH110144D3/2010,276,,ENA portal API
KP973513,DENV-4,2010,collected,2010,2015-09-26,,,PH110126D4/2010,418,,ENA portal API
KP973514,DENV-4,2010,collected,2010,2015-09-26,,,PH110164D4/2010,418,,ENA portal API
KP973515,DENV-4,2010,collected,2010,2015-09-26,,,PH110500D4/2011,418,,ENA portal API
KP973521,DENV-1,2010,collected,2010,2015-09-26,,,PH110052D1/2010,373,,ENA portal API
KP973522,DENV-1,2010,collected,2010,2015-09-26,,,PH110073D1/2010,374,,ENA portal API
KP973523,DENV-1,2010,collected,2010,2015-09-26,,,PH110075D1/2010,373,,ENA portal API
KP973524,DENV-1,2010,collected,2010,2015-09-26,,,PH110084D1/2010,373,,ENA portal API
KP973525,DENV-1,2010,collected,2010,2015-09-26,,,PH110085D1/2010,373,,ENA portal API
KP973526,DENV-1,2010,collected,2010,2015-09-26,,,PH110097D1/2010,373,,ENA portal API
KP973527,DENV-1,2010,collected,2010,2015-09-26,,,PH110100D1/2010,373,,ENA portal API
KP973528,DENV-1,2010,collected,2010,2015-09-26,,,PH110111D1/2010,373,,ENA portal API
KP973529,DENV-1,2010,collected,2010,2015-09-26,,,PH110115D1/2010,373,,ENA portal API
KP973530,DENV-1,2010,collected,2010,2015-09-26,,,PH110119D1/2010,373,,ENA portal API
KP973531,DENV-1,2010,collected,2010,2015-09-26,,,PH110120D1/2010,373,,ENA portal API
KP973532,DENV-1,2010,collected,2010,2015-09-26,,,PH110125D1/2010,373,,ENA portal API
KP973533,DENV-1,2010,collected,2010,2015-09-26,,,PH110129D1/2010,373,,ENA portal API
KP973534,DENV-1,2010,collected,2010,2015-09-26,,,PH110134D1/2010,373,,ENA portal API
KP973535,DENV-1,2010,collected,2010,2015-09-26,,,PH110135D1/2010,373,,ENA portal API
KP973536,DENV-1,2010,collected,2010,2015-09-26,,,PH110136D1/2010,373,,ENA portal API
KP973537,DENV-1,2010,collected,2010,2015-09-26,,,PH110142D1/2010,373,,ENA portal API
KP973538,DENV-1,2010,collected,2010,2015-09-26,,,PH110143D1/2010,373,,ENA portal API
KR919811,DENV-1,2010,collected,2010,2016-03-10,Homo sapiens,,Phil2010,1485,,ENA portal API
KU509274,DENV-2,2010,collected,2010,2017-01-27,Homo sapiens,DENV2-3519,,10540,,ENA portal API
KU509277,DENV-2,2010,collected,2010,2017-01-27,Homo sapiens,DENV2-14706,,10551,,ENA portal API
MF094186,DENV-3,2010,collected,2010,2024-01-23,Homo sapiens,,10NS1-041,1626,,ENA portal API
MF094187,DENV-3,2010,collected,2010,2024-01-23,Homo sapiens,,10NS1-077,1658,,ENA portal API
MF094188,DENV-3,2010,collected,2010,2024-01-23,Homo sapiens,,10SLMC-028,1699,,ENA portal API
AB609590,DENV-3,2011,published,1956,2011-02-03,,H87,,2268,,ENA portal API
AB609591,DENV-4,2011,published,1956,2011-02-03,Homo sapiens,H241,,2283,,ENA portal API
JQ680407,unspecified,2011,collected,2011,2013-02-15,,,NCH:2011-110070,493,,ENA portal API
KP973458,DENV-2,2011,collected,2011,2015-09-26,,,PH7D2/2011,323,,ENA portal API
KP973481,DENV-2,2011,collected,2011,2015-09-26,,,PH110496D2/2011,323,,ENA portal API
KP973482,DENV-2,2011,collected,2011,2015-09-26,,,PH110499D2/2011,323,,ENA portal API
KP973483,DENV-2,2011,collected,2011,2015-09-26,,,PH110501D2/2011,323,,ENA portal API
KP973484,DENV-2,2011,collected,2011,2015-09-26,,,PH110504D2/2011,323,,ENA portal API
KP973485,DENV-2,2011,collected,2011,2015-09-26,,,PH110508D2/2011,323,,ENA portal API
KP973486,DENV-2,2011,collected,2011,2015-09-26,,,PH110509D2/2011,323,,ENA portal API
KP973487,DENV-2,2011,collected,2011,2015-09-26,,,PH110588D2/2011,323,,ENA portal API
KP973504,DENV-3,2011,collected,2011,2015-09-26,,,PH110490D3/2011,276,,ENA portal API
KP973505,DENV-3,2011,collected,2011,2015-09-26,,,PH110492D3/2011,276,,ENA portal API
KP973506,DENV-3,2011,collected,2011,2015-09-26,,,PH110497D3/2011,276,,ENA portal API
KP973507,DENV-3,2011,collected,2011,2015-09-26,,,PH110498D3/2011,276,,ENA portal API
KP973508,DENV-3,2011,collected,2011,2015-09-26,,,PH110506D3/2011,276,,ENA portal API
KP973509,DENV-3,2011,collected,2011,2015-09-26,,,PH110552D3/2011,276,,ENA portal API
KP973510,DENV-3,2011,collected,2011,2015-09-26,,,PH110581D3/2011,276,,ENA portal API
KP973511,DENV-3,2011,collected,2011,2015-09-26,,,PH110741D3/2011,276,,ENA portal API
KP973539,DENV-1,2011,collected,2011,2015-09-26,,,PH110503D1/2011,373,,ENA portal API
KP973540,DENV-1,2011,collected,2011,2015-09-26,,,PH110507D1/2011,373,,ENA portal API
KP973541,DENV-1,2011,collected,2011,2015-09-26,,,PH110511D1/2011,373,,ENA portal API
KP973542,DENV-1,2011,collected,2011,2015-09-26,,,PH110737D1/2011,373,,ENA portal API
KP973543,DENV-1,2011,collected,2011,2015-09-26,,,PH110995D1/2011,373,,ENA portal API
KP979767,DENV-1,2011,collected,2011,2015-10-11,,,PH110503D1E/2011,797,,ENA portal API
KP979773,DENV-3,2011,collected,2011,2015-10-11,,,PH110490D3E/2011,788,,ENA portal API
KP979774,DENV-3,2011,collected,2011,2015-10-11,,,PH110498D3E/2011,788,,ENA portal API
KP979775,DENV-3,2011,collected,2011,2015-10-11,,,PH110506D3E/2011,788,,ENA portal API
KT749997,DENV-4,2011,collected,2011,2017-11-20,Homo sapiens,,Philippines 2011,1485,,ENA portal API
KT758739,DENV-3,2011,collected,2011,2017-11-20,Homo sapiens,,Philippines 2011,1479,,ENA portal API
KT825047,DENV-1,2011,collected,2011,2017-11-20,Homo sapiens,,Philippines 2011,1485,,ENA portal API
KY818102,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/003/2011,1983,,ENA portal API
KY818103,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/004/2011,1983,,ENA portal API
KY818104,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/005/2011,1983,,ENA portal API
KY818116,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/166/2011,1983,,ENA portal API
KY818130,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/429/2011,1983,,ENA portal API
KY818161,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/001/2011,1983,,ENA portal API
KY818162,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/002/2011,1983,,ENA portal API
KY818169,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/183/2011,1983,,ENA portal API
KY818170,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/184/2011,1983,,ENA portal API
KY818171,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/185/2011,1983,,ENA portal API
KY851591,DENV-3,2011,collected,2011,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/638/2011,1977,,ENA portal API
KY851632,DENV-3,2011,collected,2011,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/441/2011,1977,,ENA portal API
KY882505,DENV-1,2011,collected,2011,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/188/2011,1866,,ENA portal API
LC148026,DENV-1,2011,collected,2011,2016-12-02,Homo sapiens,D1/Hu/Philippines/NIID10/2011,,1485,,ENA portal API
MF094240,DENV-1,2011,collected,2011,2024-01-23,Homo sapiens,,11RBD-015,1554,,ENA portal API
JQ680405,unspecified,2012,collected,2012,2013-02-15,,,NCH:2011-110061,513,,ENA portal API
JQ680406,unspecified,2012,collected,2012,2013-02-15,,,NCH:2011-110063,502,,ENA portal API
JQ680408,unspecified,2012,collected,2012,2013-02-15,,,NCH:2011-110072,513,,ENA portal API
JQ680409,unspecified,2012,collected,2012,2013-02-15,,,NCH:2011-110076,485,,ENA portal API
JQ680410,unspecified,2012,collected,2012,2013-02-15,,,NCH:2011-110086,486,,ENA portal API
KP973512,DENV-3,2012,collected,2012,2015-09-26,,,PHD63D3/2012,276,,ENA portal API
KP973544,DENV-1,2012,collected,2012,2015-09-26,,,PHD12D1/2012,373,,ENA portal API
KP973545,DENV-1,2012,collected,2012,2015-09-26,,,PHD18D1/2012,373,,ENA portal API
KP973546,DENV-1,2012,collected,2012,2015-09-26,,,PHD2D1/2012,373,,ENA portal API
KP973547,DENV-1,2012,collected,2012,2015-09-26,,,PHD3D1/2012,373,,ENA portal API
KP973548,DENV-1,2012,collected,2012,2015-09-26,,,PHD33D1/2012,373,,ENA portal API
KP973549,DENV-1,2012,collected,2012,2015-09-26,,,PHD47D1/2012,373,,ENA portal API
KP979768,DENV-1,2012,collected,2012,2015-10-11,,,PHD18D1E/2012,797,,ENA portal API
KP979769,DENV-1,2012,collected,2012,2015-10-11,,,PHD3D1E/2012,797,,ENA portal API
KR919819,DENV-1,2012,collected,2012,2016-03-10,Homo sapiens,,Phil2012,1485,,ENA portal API
KT749999,DENV-4,2012,collected,2012,2017-11-20,Homo sapiens,,Philippines 2012a,1485,,ENA portal API
KT750001,DENV-4,2012,collected,2012,2017-11-20,Homo sapiens,,Philippines 2012b,1485,,ENA portal API
KT758747,DENV-3,2012,collected,2012,2017-11-20,Homo sapiens,,Philippines 2012,1479,,ENA portal API
KT824988,DENV-1,2012,collected,2012,2017-11-20,Homo sapiens,,Philippines 2012a,1485,,ENA portal API
KT824989,DENV-1,2012,collected,2012,2017-11-20,Homo sapiens,,Philippines 2012b,1485,,ENA portal API
KY818105,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/006/2012,1983,,ENA portal API
KY818106,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/010/2012,1983,,ENA portal API
KY818107,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/011/2012,1983,,ENA portal API
KY818108,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/015/2012,1983,,ENA portal API
KY818109,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/159/2012,1983,,ENA portal API
KY818110,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/160/2012,1983,,ENA portal API
KY818111,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/161/2012,1983,,ENA portal API
KY818112,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/162/2012,1983,,ENA portal API
KY818113,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/163/2012,1983,,ENA portal API
KY818114,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/164/2012,1983,,ENA portal API
KY818115,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/165/2012,1983,,ENA portal API
KY818117,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/167/2012,1983,,ENA portal API
KY818118,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/377/2012,1983,,ENA portal API
KY818120,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/379/2012,1983,,ENA portal API
KY818122,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/417/2012,1983,,ENA portal API
KY818124,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/419/2012,1983,,ENA portal API
KY818125,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/420/2012,1983,,ENA portal API
KY818129,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/424/2012,1983,,ENA portal API
KY818131,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/660/2012,1983,,ENA portal API
KY818163,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/007/2012,1983,,ENA portal API
KY818164,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/008/2012,1983,,ENA portal API
KY818165,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/009/2012,1983,,ENA portal API
KY818166,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/012/2012,1983,,ENA portal API
KY818167,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/013/2012,1983,,ENA portal API
KY818168,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/014/2012,1983,,ENA portal API
KY818172,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/186/2012,1983,,ENA portal API
KY818175,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/369/2012,1983,,ENA portal API
KY818180,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/374/2012,1983,,ENA portal API
KY818181,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/375/2012,1983,,ENA portal API
KY818182,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/376/2012,1983,,ENA portal API
KY818183,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/380/2012,1983,,ENA portal API
KY818185,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/394/2012,1983,,ENA portal API
KY818186,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/395/2012,1983,,ENA portal API
KY818189,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/398/2012,1983,,ENA portal API
KY818190,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/399/2012,1983,,ENA portal API
KY818191,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/400/2012,1983,,ENA portal API
KY818192,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/401/2012,1983,,ENA portal API
KY818195,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/404/2012,1983,,ENA portal API
KY818199,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/408/2012,1983,,ENA portal API
KY818204,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/413/2012,1983,,ENA portal API
KY818206,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/415/2012,1983,,ENA portal API
KY818207,DENV-1,2012,collected,2012,2017-08-18,Homo sapiens,,DV1/PHILIPPINES/416/2012,1983,,ENA portal API
KY851414,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/046/2012,1983,,ENA portal API
KY851426,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/287/2012,1983,,ENA portal API
KY851427,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/288/2012,1983,,ENA portal API
KY851428,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/289/2012,1983,,ENA portal API
KY851429,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/290/2012,1983,,ENA portal API
KY851430,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/291/2012,1983,,ENA portal API
KY851431,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/292/2012,1983,,ENA portal API
KY851432,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/293/2012,1983,,ENA portal API
KY851433,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/294/2012,1983,,ENA portal API
KY851434,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/295/2012,1983,,ENA portal API
KY851435,DENV-2,2012,collected,2012,2017-08-18,Homo sapiens,,DV2/PHILIPPINES/296/2012,1983,,ENA portal API
KY851633,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/636/2012,1977,,ENA portal API
KY851634,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/637/2012,1977,,ENA portal API
KY851635,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/639/2012,1977,,ENA portal API
KY851636,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/640/2012,1977,,ENA portal API
KY851637,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/641/2012,1977,,ENA portal API
KY851638,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/642/2012,1977,,ENA portal API
KY851639,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/643/2012,1977,,ENA portal API
KY851640,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/074/2012,1977,,ENA portal API
KY851641,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/075/2012,1977,,ENA portal API
KY851642,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/076/2012,1977,,ENA portal API
KY851643,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/077/2012,1977,,ENA portal API
KY851644,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/078/2012,1977,,ENA portal API
KY851645,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/079/2012,1977,,ENA portal API
KY851646,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/442/2012,1977,,ENA portal API
KY851647,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/443/2012,1977,,ENA portal API
KY851648,DENV-3,2012,collected,2012,2017-08-18,Homo sapiens,,DV3/PHILIPPINES/444/2012,1977,,ENA portal API
KY851667,DENV-4,2012,collected,2012,2017-08-18,Homo sapiens,,DV4/PHILIPPINES/110/2012,1983,,ENA portal API
KY851730,DENV-4,2012,collected,2012,2017-08-18,Homo sapiens,,DV4/PHILIPPINES/094/2012,1983,,ENA portal API
